id_department,id_criteria
17,38
17,40
17,41
17,49
17,55
17,56
17,57
17,58
17,59
17,60
17,61
17,62
17,64
17,65
17,66
17,67
17,68
17,69
17,70
17,74
17,75
17,76
17,77
17,85
17,86
17,87
17,88
17,89
17,90
17,93
17,94
17,95
17,96
17,109
17,110
17,111
17,112
17,128
17,129
17,130
17,131
17,132
17,133
17,134
17,135
17,136
17,137
17,138
17,139
17,140
17,141
17,142
17,147
17,148
17,149
17,150
17,151
17,158
17,159
17,160
17,161
17,162
17,163
17,164
17,165
17,166
17,172
17,175
17,176
17,177
17,178
17,179
17,180
17,181
17,182
17,183
17,187
17,188
17,191
18,1
18,14
18,15
18,18
18,19
18,21
18,23
18,25
18,27
18,28
18,29
18,30
18,31
18,34
18,35
18,36
18,38
18,40
18,41
18,49
18,55
18,56
18,57
18,58
18,59
18,60
18,61
18,62
18,64
18,65
18,66
18,67
18,68
18,69
18,70
18,74
18,75
18,76
18,77
18,85
18,86
18,87
18,88
18,89
18,90
18,93
18,94
18,95
18,96
18,109
18,110
18,111
18,112
18,128
18,129
18,130
18,131
18,132
18,133
18,134
18,135
18,136
18,137
18,138
18,139
18,140
18,141
18,142
18,147
18,148
18,149
18,150
18,151
18,158
18,159
18,160
18,161
18,162
18,163
18,164
18,165
18,166
18,172
18,175
18,176
18,177
18,178
18,179
18,180
18,181
18,182
18,183
18,187
18,188
18,191
19,1
19,14
19,15
19,18
19,19
19,21
19,23
19,25
19,27
19,28
19,29
19,30
19,31
19,34
19,35
19,36
19,38
19,40
19,41
19,49
19,55
19,56
19,57
19,58
19,59
19,60
19,61
19,62
19,64
19,65
19,66
19,67
19,68
19,69
19,70
19,74
19,75
19,76
19,77
19,85
19,86
19,87
19,88
19,89
19,90
19,93
19,94
19,95
19,96
19,109
19,110
19,111
19,112
19,128
19,129
19,130
19,131
19,132
19,133
19,134
19,135
19,136
19,137
19,138
19,139
19,140
19,141
19,142
19,147
19,148
19,149
19,150
19,151
19,158
19,159
19,160
19,161
19,162
19,163
19,164
19,165
19,166
19,172
19,175
19,176
19,177
19,178
19,179
19,180
19,181
19,182
19,183
19,187
19,188
19,191
20,1
20,14
20,15
20,18
20,19
20,21
20,23
20,25
20,27
20,28
20,29
20,30
20,31
20,34
20,35
20,36
20,38
20,40
20,41
20,49
20,55
20,56
20,57
20,58
20,59
20,60
20,61
20,62
