id_department,id_criteria
41,172
41,175
41,176
41,177
41,178
41,179
41,180
41,181
41,182
41,183
41,187
41,188
41,191
42,1
42,14
42,15
42,18
42,19
42,21
42,23
42,25
42,27
42,28
42,29
42,30
42,31
42,34
42,35
42,36
42,38
42,40
42,41
42,49
42,55
42,56
42,57
42,58
42,59
42,60
42,61
42,62
42,64
42,65
42,66
42,67
42,68
42,69
42,70
42,74
42,75
42,76
42,77
42,85
42,86
42,87
42,88
42,89
42,90
42,93
42,94
42,95
42,96
42,109
42,110
42,111
42,112
42,128
42,129
42,130
42,131
42,132
42,133
42,134
42,135
42,136
42,137
42,138
42,139
42,140
42,141
42,142
42,147
42,148
42,149
42,150
42,151
42,158
42,159
42,160
42,161
42,162
42,163
42,164
42,165
42,166
42,172
42,175
42,176
42,177
42,178
42,179
42,180
42,181
42,182
42,183
42,187
42,188
42,191
43,1
43,14
43,15
43,18
43,19
43,21
43,23
43,25
43,27
43,28
43,29
43,30
43,31
43,34
43,35
43,36
43,38
43,40
43,41
43,49
43,55
43,56
43,57
43,58
43,59
43,60
43,61
43,62
43,64
43,65
43,66
43,67
43,68
43,69
43,70
43,74
43,75
43,76
43,77
43,85
43,86
43,87
43,88
43,89
43,90
43,93
43,94
43,95
43,96
43,109
43,110
43,111
43,112
43,128
43,129
43,130
43,131
43,132
43,133
43,134
43,135
43,136
43,137
43,138
43,139
43,140
43,141
43,142
43,147
43,148
43,149
43,150
43,151
43,158
43,159
43,160
43,161
43,162
43,163
43,164
43,165
43,166
43,172
43,175
43,176
43,177
43,178
43,179
43,180
43,181
43,182
43,183
43,187
43,188
43,191
44,1
44,14
44,15
44,18
44,19
44,21
44,23
44,25
44,27
44,28
44,29
44,30
44,31
44,34
44,35
44,36
44,38
44,40
44,41
44,49
44,55
44,56
44,57
44,58
44,59
44,60
44,61
44,62
44,64
44,65
44,66
44,67
44,68
44,69
44,70
44,74
44,75
44,76
44,77
44,85
44,86
44,87
44,88
44,89
44,90
44,93
44,94
44,95
44,96
44,109
44,110
44,111
44,112
44,128
44,129
44,130
44,131
44,132
44,133
44,134
44,135
44,136
44,137
44,138
44,139
44,140
44,141
44,142
44,147
44,148
44,149
44,150
44,151
44,158
44,159
44,160
44,161
44,162
44,163
44,164
44,165
44,166
44,172
44,175
44,176
44,177
44,178
44,179
44,180
44,181
44,182
44,183
44,187
44,188
44,191
45,1
45,14
45,15
